name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
South Africa,2022-02-05,23.8,16.1,19.4,23.8,16.1,19.4,16.4,84.1,80.654,100,12.5,rain,0,0,49,17.6,127.2,1021.6,75.8,12.3,151.3,13.1,6,10,2022-02-05T05:45:42,2022-02-05T18:56:30,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"68264399999,FALA,68264099999,FAJB,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-06,26.4,15.4,20.3,26.4,15.4,20.3,13.7,67.8,0,0,0,,0,0,50.4,24.4,111.2,1022.8,43.1,16.2,258.9,22.2,10,10,2022-02-06T05:46:26,2022-02-06T18:55:55,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,FALA,68264099999,FASI,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-07,29.4,13.8,21,29.4,13.8,20.9,13.3,64.6,0,0,0,,0,0,41.4,16.3,121.8,1021.5,19,16.9,280.7,24.2,10,10,2022-02-07T05:47:09,2022-02-07T18:55:19,0.2,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,FASI,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-08,26.8,15.3,19.7,27.1,15.3,19.7,15,75.2,0,0,0,,0,0,16.9,17.2,128.3,1019.7,44.9,13.8,176.8,15.2,10,10,2022-02-08T05:47:51,2022-02-08T18:54:41,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267299999,FAWK,FALA,68361099999,FAJB,F8815,FAOR"
South Africa,2022-02-09,29.7,14.9,21.9,29.9,14.9,22,15.2,68.4,7.123,100,8.33,rain,0,0,16.5,10.5,279.1,1018.1,36.1,13.7,236.4,20.2,9,10,2022-02-09T05:48:33,2022-02-09T18:54:03,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"FALA,68264399999,68264099999,FAJB,FAWB,68263099999,68263599999,68269099999,68267299999,FAOR,F8815,FAWK"
South Africa,2022-02-10,29.1,15.8,21.9,29.7,15.8,22,15.5,68.6,0.462,100,8.33,rain,0,0,64.8,25.1,153.5,1019.3,42.6,16.9,228.5,19.9,9,10,2022-02-10T05:49:15,2022-02-10T18:53:23,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAWK"
South Africa,2022-02-11,29.2,15.8,22.2,28.3,15.8,22.1,13.2,59.7,0.982,100,4.17,rain,0,0,27.7,14.7,76.3,1020.9,19.7,16.8,273.5,23.6,9,10,2022-02-11T05:49:56,2022-02-11T18:52:42,0.33,Rain,Clear conditions throughout the day with early morning rain.,rain,"68264399999,FALA,68264099999,FAGM,FAWB,68263099999,68263599999,68269099999,F8815,FAOR,FAWK"
South Africa,2022-02-12,27.5,13.7,21.6,26.8,13.7,21.4,9.5,49.1,0,0,0,,0,0,35.3,14.9,38.6,1023,34.9,14,277,24,9,10,2022-02-12T05:50:37,2022-02-12T18:52:00,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,FALA,68264099999,FAGM,FAWB,68263099999,68263599999,68269099999,68346399999,F8815,FAOR,FAWK"
South Africa,2022-02-13,27.8,14.2,21.6,27,14.2,21.5,10.6,51.9,0,0,0,,0,0,31.7,10.8,23.9,1021.2,76.4,11.4,257.3,22.1,9,10,2022-02-13T05:51:18,2022-02-13T18:51:18,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FALA,68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,FAOR,F8815,FAWK"
South Africa,2022-02-14,30,16.7,23,30,16.7,22.9,13.5,56.9,0,0,0,,0,0,36,18.8,99.5,1020.3,48,16.5,258.3,22.2,9,10,2022-02-14T05:51:58,2022-02-14T18:50:33,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAWK"
South Africa,2022-02-15,28.7,15.5,22,28.6,15.5,22,14.1,62.6,0,0,0,,0,0,38.5,19.1,85.6,1023.7,15.8,16.4,262.4,22.6,9,10,2022-02-15T05:52:37,2022-02-15T18:49:48,0.46,Clear,Clear conditions throughout the day.,clear-day,"68264399999,FALA,68264099999,FAWB,68263099999,68263599999,68269099999,F8815,FAWK"
South Africa,2022-02-16,28.7,16.8,21.5,28.9,16.8,21.5,15.1,68.8,0.1,100,4.17,rain,0,0,51.8,17.5,291.4,1023.1,46.7,10,183.8,15.9,7,10,2022-02-16T05:53:16,2022-02-16T18:49:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"FALA,68264399999,FASI,68361099999,68363099999,FAJB,FAWB,68263599999,68267499999,68267299999,FAOR,F8815"
South Africa,2022-02-17,28,15.9,20.6,28.7,15.9,20.7,15,71.5,0.989,100,4.17,rain,0,0,20.9,17.1,53.2,1020.9,32,11.1,197.3,17,9,10,2022-02-17T05:53:55,2022-02-17T18:48:15,0.53,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267499999,68267299999,FAWK,FALA,FASI,68361099999,FAJB,FAOR,F8815"
South Africa,2022-02-18,26.1,15.3,19.8,26.1,15.3,19.8,15.6,78.7,0.2,100,4.17,rain,0,0,22.3,16.5,28.8,1022.1,64.1,10.1,176.8,15.3,8,10,2022-02-18T05:54:33,2022-02-18T18:47:27,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"68264399999,68264099999,FAGM,68263099999,FAWB,68263599999,68269099999,68267499999,68267299999,FAWK,FALA,FASI,68361099999,FAJB,FAOR,F8815"
South Africa,2022-02-19,26.2,17,20.2,26.2,17,20.2,16.3,79.5,0.411,100,8.33,rain,0,0,31.7,14.6,10.7,1021.7,66.9,9.9,198.9,17.2,9,10,2022-02-19T05:55:11,2022-02-19T18:46:38,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"68264099999,FAGM,68363099999,68263099999,68263599999,68269099999,68267299999,68267499999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
South Africa,2022-02-20,30.3,16,22.3,31,16,22.3,14.9,66.7,0.365,100,12.5,rain,0,0,30.6,14.6,218.7,1019.6,34.8,12.4,257.9,22.2,9,10,2022-02-20T05:55:49,2022-02-20T18:45:49,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"68264399999,68264099999,68263099999,FAWB,68269099999,68263599999,68267499999,68267299999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
South Africa,2022-02-21,30.7,15.6,23.2,30,15.6,23,12.6,55,0.004,100,4.17,rain,0,0,36.7,14.7,189.6,1019.5,24.2,11.4,226.5,19.5,7,10,2022-02-21T05:56:25,2022-02-21T18:44:58,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,68264099999,FAWB,68263099999,68263599999,68269099999,68267299999,68267499999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
South Africa,2022-02-22,31.1,16.5,21.7,31,16.5,21.7,14.5,65.1,1.963,100,4.17,rain,0,0,40.7,12.9,50.2,1020.4,20.5,13.6,234.5,20.2,8,10,2022-02-22T05:57:02,2022-02-22T18:44:06,0.7,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"FALA,68264399999,68264099999,FASI,FAJB,68263099999,FAWB,68263599999,68269099999,FAOR,F8815,FAWK"
South Africa,2022-02-23,27.5,17.2,21.7,27.8,17.2,21.7,15.9,71.1,0.2,100,8.33,rain,0,0,33.5,13,111.9,1021.3,45.2,15.6,171.3,14.7,7,10,2022-02-23T05:57:38,2022-02-23T18:43:14,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"68264399999,68264099999,FAGM,FAWB,68263099999,68263599999,68269099999,68267499999,FAWK,FALA,FASI,F8815,FAOR"
South Africa,2022-02-24,28.4,15.9,22.2,27.9,15.9,22.1,14,62.4,0,0,0,,0,0,25.2,17,127.3,1020.8,17.5,14.6,211,18.1,9,10,2022-02-24T05:58:14,2022-02-24T18:42:21,0.75,Clear,Clear conditions throughout the day.,clear-day,"68264399999,68264099999,68363099999,FAWB,68263099999,68263599999,68269099999,68267499999,68267299999,FAWK,FALA,FASI,68361099999,FAJB,F8815,FAOR"
South Africa,2022-02-25,31.9,16.5,21,36.1,16.5,21.2,14,65.7,0.011,100,4.17,rain,0,0,57.6,19.5,126.1,1020.9,34.9,13.2,204,17.5,8,10,2022-02-25T05:58:49,2022-02-25T18:41:27,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"68264399999,68264099999,68263099999,FAWB,68263599999,68269099999,68267499999,68267299999,FAWK,FALA,FASI,FAJB,FAOR,F8815"
